variable_name,meandecreasegini
flag_prodT_license_customer,0.210019811
ftr_dummy_idc_verticals13,0.192523742
prodN_license_2014_bookings_amount,0.185164234
flag_prodK_avail_svcs_customer,0.159693917
survey_display_events,0.150942073
tot_prod8_blog_page_views,0.150105802
tot_prod7_evals_page_views,0.149656766
tot_blackberry_page_views,0.143692454
tot_prod14_webinar_page_views,0.114366561
tot_prod15_features_page_views,0.109494386
ftr_dummy_idc_verticals6,0.087960775
tot_msn_se_page_views,0.085128253
ftr_dummy_db_industry2,0.077729844
prodN_whitepaper_downloads,0.07534615
tot_prod7_webinar_page_views,0.045621355
tot_excite_se_page_views,0.044867625
ftr_dummy_db_industry1,0.035278311
tot_prod3_evals_page_views,0.030928459
tot_prod9_resources_page_views,0.02293155
ftr_dummy_db_industry14,0.016990383
tot_prod15_resources_page_views,0.016604762
internal_campaign_events,0.013408099
tot_prod1_blog_page_views,0.007703789
ftr_dummy_db_industry18,0.00364816
ftr_dummy_db_industry16,0.002091209
ftr_dummy_db_industry22,0.000736264
find_retailer_events,0
survey_submit_events,0
tot_prod1_overview_page_views,0
tot_prod5_webinar_page_views,0
tot_prod11_webinar_page_views,0
affliate_views,0
display_views,0
